hours_studied,attendance_pct,passed_exam
19.3,66.3,1
17.9,54.0,0
2.2,92.4,0
7.8,93.7,0
17.1,63.5,0
6.6,50.7,0
15.8,68.5,0
16.0,67.8,0
11.4,60.5,0
11.2,66.2,0
14.1,89.6,1
12.1,72.3,0
11.0,59.4,0
5.7,98.4,0
4.8,56.6,0
18.4,65.3,1
12.8,77.8,0
2.3,77.0,0
9.2,84.9,0
4.8,51.3,0
15.2,80.1,1
10.4,79.6,0
13.2,80.9,0
1.1,80.1,0
11.2,99.8,1
8.9,68.0,0
9.0,65.1,0
10.6,75.9,0
8.0,55.8,0
17.5,69.8,1
19.7,76.6,1
17.8,62.7,1
6.7,75.5,0
15.0,90.8,1
13.5,87.3,1
11.9,77.9,0
4.7,95.8,0
7.9,75.5,0
19.0,51.2,0
12.5,68.3,0
10.9,60.5,0
13.8,60.1,0
1.2,52.7,0
15.8,57.0,0
18.2,79.4,1
2.6,79.9,0
12.1,57.6,0
19.3,56.0,1
14.4,64.8,0
15.9,96.0,1
2.5,50.7,0
6.8,52.2,0
14.5,73.3,0
17.4,86.2,1
12.4,87.8,0
17.3,76.9,1
5.1,70.9,0
16.8,80.7,1
9.4,80.5,0
3.0,94.1,0
6.8,78.8,0
11.0,78.6,0
14.5,53.3,0
9.7,95.6,0
17.8,63.5,1
7.6,92.9,0
17.2,51.9,0
14.8,99.2,1
3.5,67.5,0
6.9,72.2,0
5.2,77.8,0
18.7,63.1,1
16.6,94.6,1
19.8,59.0,1
18.8,57.3,1
18.2,86.1,1
14.7,90.3,1
3.0,75.6,0
8.3,64.1,0
5.2,75.1,0
5.9,52.3,0
6.2,87.6,0
13.9,55.6,0
7.0,73.2,0
18.8,91.0,1
7.5,88.9,0
18.2,63.5,1
13.4,80.0,0
3.0,61.1,0
17.3,85.1,1
10.0,69.7,0
15.7,77.7,1
18.0,79.2,1
7.3,88.3,0
14.6,60.3,0
11.3,70.4,0
2.2,82.8,0
13.4,93.1,1
6.0,55.6,0
19.4,98.3,1
13.3,94.3,1
19.5,62.3,1
15.7,74.4,1
2.7,69.9,0
13.2,55.1,0
3.1,55.0,0
13.8,80.8,0
10.1,72.6,0
7.0,95.0,0
1.7,67.5,0
10.3,75.5,0
16.9,96.0,1
8.6,58.6,0
2.8,80.2,0
2.9,81.4,0
5.6,55.2,0
18.0,62.0,1
11.4,80.4,0
11.0,92.3,0
17.1,62.3,0
14.6,86.9,1
15.5,86.7,1
4.2,87.8,0
9.6,62.2,0
10.1,61.7,0
19.2,99.0,1
6.5,82.3,0
6.9,53.4,0
2.8,76.6,0
1.9,93.0,0
16.0,76.7,1
6.7,90.2,0
19.5,89.4,1
4.1,76.8,0
10.2,51.1,0
5.4,76.2,0
8.2,83.0,0
10.0,89.8,0
9.3,93.8,0
9.7,82.4,0
5.5,76.3,0
16.2,95.6,1
7.2,62.5,0
18.5,53.6,0
11.6,95.4,1
7.8,91.0,0
18.7,50.8,0
15.8,84.8,1
5.9,67.3,0
12.5,89.0,1
